# 어절\t어절의 분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
것이다.	것/NNB+이/VCP+다/EF+./SF
일정한	일정/XR+하/XSA+ㄴ/ETM
것만	것/NNB+만/JX
되고,	되/VV+고/EC+,/SP
연구를	연구/NNG+를/JKO
꿈을	꿈/NNG+을/JKO
어머니	어머니/NNG
나타내는	나타내/VV+는/ETM
금융기관	금융/NNG+기관/NNG
가득	가득/MAG
오늘날의	오늘날/NNG+의/JKG
떨어져	떨어지/VV+어/EC
조국은	조국/NNP+은/JX
그야말로	그야말로/MAG
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF
만들고	만들/VV+고/EC
어찌	어찌/MAG
학생들은	학생/NNG+들/XSN+은/JX
면에서	면/NNG+에서/JKB
그건	그것/NP+ㄴ/JX
그렇다.	그렇/VA+다/EF+./SF
내년	내년/NNG
이젠	이제/NNG+ㄴ/JX
모양이다.	모양/NNG+이/VCP+다/EF+./SF
것이고,	것/NNB+이/VCP+고/EC+,/SP
않았던	않/VX+았/EP+던/ETM
지역의	지역/NNG+의/JKG
아이들을	아이/NNG+들/XSN+을/JKO
위의	위/NNG+의/JKG
아니라는	아니/VCN+라는/ETM
새삼	새삼/MAG
관련,	관련/NNG+,/SP
것은,	것/NNB+은/JX+,/SP
가치를	가치/NNG+를/JKO
오늘은	오늘/NNG+은/JX
검은	검/VA+은/ETM
더욱이	더욱이/MAJ
당연히	당연히/MAG
서울의	서울/NNP+의/JKG
알아야	알/VV+아야/EC
크고	크/VA+고/EC
심한	심하/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
해외	해외/NNG
남자는	남자/NNG+는/JX
전체의	전체/NNG+의/JKG
보여주는	보이/VV+어/EC+주/VX+는/ETM
신한국당	신한국당/NNP
마련이다.	마련/NNB+이/VCP+다/EF+./SF
아버지	아버지/NNG
네가	네/NP+가/JKS
않기	않/VX+기/ETN
나타나고	나타나/VV+고/EC
인간	인간/NNG
입장에서	입장/NNG+에서/JKB
국가의	국가/NNG+의/JKG
말하자면	말/NNG+하/XSV+자면/EC
이상한	이상/XR+하/XSA+ㄴ/ETM
언어의	언어/NNG+의/JKG
도움을	도움/NNG+을/JKO
본당	본당/NNG
보낸	보내/VV+ㄴ/ETM
다를	다르/VA+ㄹ/ETM
측면에서	측면/NNG+에서/JKB
똑같은	똑같/VA+은/ETM
외에	외/NNB+에/JKB
이용하여	이용/NNG+하/XSV+아/EC
한참	한참/NNG
기준으로	기준/NNG+으로/JKB
그들을	그/NP+들/XSN+을/JKO
아마도	아마도/MAG
인상을	인상/NNG+을/JKO
나온다.	나오/VV+ㄴ다/EF+./SF
학교에서	학교/NNG+에서/JKB
영국의	영국/NNP+의/JKG
당초	당초/NNG
얻어	얻/VV+어/EC
작년	작년/NNG
힘든	힘들/VA+ㄴ/ETM
남편의	남편/NNG+의/JKG
방법은	방법/NNG+은/JX
처음에는	처음/NNG+에/JKB+는/JX
굳이	굳이/MAG
갖춘	갖추/VV+ㄴ/ETM
자동차	자동차/NNG
어려울	어렵/VA+ㄹ/ETM
어머니를	어머니/NNG+를/JKO
다니는	다니/VV+는/ETM
자신들의	자신/NNG+들/XSN+의/JKG
한꺼번에	한꺼번에/MAG
사건은	사건/NNG+은/JX
가끔	가끔/MAG
멀티미디어	멀티미디어/NNG
사람들에게	사람/NNG+들/XSN+에게/JKB
문학의	문학/NNG+의/JKG
사람들	사람/NNG+들/XSN
가만히	가만히/MAG
길은	길/NNG+은/JX
기간	기간/NNG
걸친	걸치/VV+ㄴ/ETM
곳을	곳/NNG+을/JKO
밖에	밖/NNG+에/JKB
대북	대/NNB+북/NNP
얻은	얻/VV+은/ETM
마을의	마을/NNG+의/JKG
학생	학생/NNG
한국인의	한국인/NNG+의/JKG
한반도	한반도/NNP
은행의	은행/NNG+의/JKG
있어서도	있/VV+어서/EC+도/JX
곳은	곳/NNG+은/JX
아파트	아파트/NNG
넘어	넘/VV+어/EC
1.	1/SN+./SF
힘입어	힘입/VV+어/EC
일본은	일본/NNP+은/JX
하나를	하나/NR+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
외국인	외국인/NNG
나쁜	나쁘/VA+ㄴ/ETM
계획을	계획/NNG+을/JKO
나타나	나타나/VV+아/EC
끝까지	끝/NNG+까지/JX
거듭	거듭/MAG
만난	만나/VV+ㄴ/ETM
뒤로	뒤/NNG+로/JKB
나타나는	나타나/VV+는/ETM
중요하다.	중요/XR+하/XSA+다/EF+./SF
최초의	최초/NNG+의/JKG
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF
2월	2/SN+월/NNB
1백	1/SN+백/NR
문화를	문화/NNG+를/JKO
나무	나무/NNG
좋지	좋/VA+지/EC
끊임없이	끊임없이/MAG
만하다.	만/NNB+하/XSA+다/EF+./SF
형은	형/NNG+은/JX
과학의	과학/NNG+의/JKG
2.	2/SN+./SF
흰	희/VA+ㄴ/ETM
사건을	사건/NNG+을/JKO
의견을	의견/NNG+을/JKO
공동	공동/NNG
붉은	붉/VA+은/ETM
총선	총선/NNG
다루는	다루/VV+는/ETM
연구	연구/NNG
써서	쓰/VV+어서/EC
한때	한때/NNG
목숨을	목숨/NNG+을/JKO
그나마	그나마/MAG
경우를	경우/NNG+를/JKO
것이기	것/NNB+이/VCP+기/ETN
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
한국시리즈	한국시리즈/NNP
94년	94/SN+년/NNB
하늘을	하늘/NNG+을/JKO
상대로	상대/NNG+로/JKB
겪고	겪/VV+고/EC
관계	관계/NNG
방에	방/NNG+에/JKB
너는	너/NP+는/JX
갖는다.	갖/VV+는다/EF+./SF
떠난	떠나/VV+ㄴ/ETM
얻을	얻/VV+을/ETM
영화	영화/NNG
느낌을	느낌/NNG+을/JKO
조상의	조상/NNG+의/JKG
심지어	심지어/MAG
방향을	방향/NNG+을/JKO
올바른	올바르/VA+ㄴ/ETM
얼른	얼른/MAG
차지하고	차지/NNG+하/XSV+고/EC
들어갔다.	들어가/VV+았/EP+다/EF+./SF
3일	3/SN+일/NNB
전년의	전년/NNG+의/JKG
몇몇	몇몇/MM
마침	마침/MAG
멀리	멀리/MAG
다섯	다섯/NR
대책을	대책/NNG+을/JKO
등도	등/NNB+도/JX
고통을	고통/NNG+을/JKO
뜨거운	뜨겁/VA+ㄴ/ETM
교수는	교수/NNG+는/JX
것이고	것/NNB+이/VCP+고/EC
반대로	반대/NNG+로/JKB
이름으로	이름/NNG+으로/JKB
세호는	세호/NNP+는/JX
너희	너희/NP
치고	치/VV+고/EC
외국	외국/NNG
즉,	즉/MAG+,/SP
떨어진	떨어지/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
98.	98/SN+./SF
전망이다.	전망/NNG+이/VCP+다/EF+./SF
인간은	인간/NNG+은/JX
프랑스의	프랑스/NNP+의/JKG
스스로의	스스로/NNG+의/JKG
마치고	마치/VV+고/EC
사람에게	사람/NNG+에게/JKB
곳으로	곳/NNG+으로/JKB
높다.	높/VA+다/EF+./SF
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
전부터	전/NNG+부터/JX
되어야	되/VV+어야/EC
이유를	이유/NNG+를/JKO
가족	가족/NNG
배운	배우/VV+ㄴ/ETM
어렵게	어렵/VA+게/EC
바람직한	바람직/XR+하/XSA+ㄴ/ETM
영국	영국/NNP
지식의	지식/NNG+의/JKG
감정을	감정/NNG+을/JKO
하나도	하나/NR+도/JX
유럽의	유럽/NNP+의/JKG
가질	가지/VV+ㄹ/ETM
무척	무척/MAG
당신은	당신/NP+은/JX
느낄	느끼/VV+ㄹ/ETM
둘째	둘째/NR
여야	여야/NNG
시기에	시기/NNG+에/JKB
제공하는	제공/NNG+하/XSV+는/ETM
모습은	모습/NNG+은/JX
경제의	경제/NNG+의/JKG
나오고	나오/VV+고/EC
6월	6/SN+월/NNB
기업	기업/NNG
부산	부산/NNP
안으로	안/NNG+으로/JKB
그것이다.	그것/NP+이/VCP+다/EF+./SF
국민회의	국민회의/NNP
문제로	문제/NNG+로/JKB
무조건	무조건/MAG
보내는	보내/VV+는/ETM
도저히	도저히/MAG
보인	보이/VV+ㄴ/ETM
독일	독일/NNP
또다시	또다시/MAG
지역에	지역/NNG+에/JKB
알지	알/VV+지/EC
읽고	읽/VV+고/EC
세상	세상/NNG
한층	한층/MAG
경험을	경험/NNG+을/JKO
충분한	충분/XR+하/XSA+ㄴ/ETM
논의를	논의/NNG+를/JKO
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF
적절한	적절/XR+하/XSA+ㄴ/ETM
절대로	절대로/MAG
갖추고	갖추/VV+고/EC
한편으로는	한편/NNG+으로/JKB+는/JX
기타	기타/NNG
극히	극히/MAG
없어서	없/VA+어서/EC
복잡한	복잡/XR+하/XSA+ㄴ/ETM
맞게	맞/VV+게/EC
밝힌	밝히/VV+ㄴ/ETM
최대	최대/NNG
요구하는	요구/NNG+하/XSV+는/ETM
아니라고	아니/VCN+라고/EC
어려움을	어려움/NNG+을/JKO
죽음을	죽음/NNG+을/JKO
최고의	최고/NNG+의/JKG
방	방/NNG
서비스를	서비스/NNG+를/JKO
영향으로	영향/NNG+으로/JKB
분위기를	분위기/NNG+를/JKO
결국은	결국/NNG+은/JX
금방	금방/MAG
교구	교구/NNG
편지를	편지/NNG+를/JKO
없도록	없/VA+도록/EC
형태의	형태/NNG+의/JKG
다르게	다르/VA+게/EC
살아가는	살아가/VV+는/ETM
시대를	시대/NNG+를/JKO
검찰이	검찰/NNG+이/JKS
피해를	피해/NNG+를/JKO
1	1/SN
작품을	작품/NNG+을/JKO
나라에	나라/NNG+에/JKB
열리는	열리/VV+는/ETM
아무래도	아무래도/MAG
목적으로	목적/NNG+으로/JKB
때문이라고	때문/NNB+이/VCP+라고/EC
실정이다.	실정/NNG+이/VCP+다/EF+./SF
북한에	북한/NNP+에/JKB
그에게	그/NP+에게/JKB
눈으로	눈/NNG+으로/JKB
수준을	수준/NNG+을/JKO
우리들의	우리/NP+들/XSN+의/JKG
생각하면	생각/NNG+하/XSV+면/EC
정책을	정책/NNG+을/JKO
조금씩	조금/NNG+씩/XSN
받는다.	받/VV+는다/EF+./SF
자체를	자체/NNG+를/JKO
잘못을	잘못/NNG+을/JKO
자연의	자연/NNG+의/JKG
독특한	독특/XR+하/XSA+ㄴ/ETM
이용해	이용/NNG+하/XSV+아/EC
기술	기술/NNG
상황에	상황/NNG+에/JKB
사랑하는	사랑/NNG+하/XSV+는/ETM
아시아	아시아/NNP
갖가지	갖가지/NNG
대회	대회/NNG
대단히	대단히/MAG
기술을	기술/NNG+을/JKO
규모의	규모/NNG+의/JKG
혹시	혹시/MAG
확대	확대/NNG
아닌가.	아니/VCN+ㄴ가/EF+./SF
사회에서	사회/NNG+에서/JKB
세계에	세계/NNG+에/JKB
조금도	조금/NNG+도/JX
앞	앞/NNG
반응을	반응/NNG+을/JKO
학교를	학교/NNG+를/JKO
훈련을	훈련/NNG+을/JKO
쓰지	쓰/VV+지/EC
잡아	잡/VV+아/EC
이루어지는	이루어지/VV+는/ETM
질서를	질서/NNG+를/JKO
뚜렷한	뚜렷/XR+하/XSA+ㄴ/ETM
지난달	지난달/NNG
제외한	제외/NNG+하/XSV+ㄴ/ETM
첫째,	첫째/NR+,/SP
3년	3/SN+년/NNB
정신적	정신/NNG+적/XSN
일본에	일본/NNP+에/JKB
자유를	자유/NNG+를/JKO
동안에	동안/NNG+에/JKB
없지만	없/VA+지만/EC
영애는	영애/NNP+는/JX
뭔가	뭐/NP+이/VCP+ㄴ가/EC
몸에	몸/NNG+에/JKB
서울에	서울/NNP+에/JKB
달려	달리/VV+어/EC
내린	내리/VV+ㄴ/ETM
사상	사상/NNG
특별히	특별히/MAG
마음의	마음/NNG+의/JKG
아버지를	아버지/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF
최대의	최대/NNG+의/JKG
1일	1/SN+일/NNB
의미에서	의미/NNG+에서/JKB
10일	10/SN+일/NNB
인류의	인류/NNG+의/JKG
국민들이	국민/NNG+들/XSN+이/JKS
이용할	이용/NNG+하/XSV+ㄹ/ETM
올리는	올리/VV+는/ETM
일련의	일련/NNG+의/JKG
마구	마구/MAG
사용할	사용/NNG+하/XSV+ㄹ/ETM
내일	내일/NNG
확실한	확실/XR+하/XSA+ㄴ/ETM
지원을	지원/NNG+을/JKO
시장	시장/NNG
인터넷을	인터넷/NNG+을/JKO
가능하다.	가능/XR+하/XSA+다/EF+./SF
대학에	대학/NNG+에/JKB
걸려	걸리/VV+어/EC
여자를	여자/NNG+를/JKO
많고	많/VA+고/EC
서비스	서비스/NNG
대형	대형/NNG
사건	사건/NNG
철저하게	철저/XR+하/XSA+게/EC
한두	한두/MM
모르게	모르/VV+게/EC
대규모	대/XPN+규모/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF
조용히	조용히/MAG
◆	◆/SW
목소리로	목소리/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF
이상을	이상/NNG+을/JKO
자세히	자세히/MAG
꾸준히	꾸준히/MAG
한국은	한국/NNP+은/JX
거기	거기/NP
소식을	소식/NNG+을/JKO
선생은	선생/NNG+은/JX
넣어	넣/VV+어/EC
살펴보면	살펴보/VV+면/EC
듣는	듣/VV+는/ETM
기대를	기대/NNG+를/JKO
깨끗한	깨끗/XR+하/XSA+ㄴ/ETM
때문에,	때문/NNB+에/JKB+,/SP
그다지	그다지/MAG
보편적인	보편/NNG+적/XSN+이/VCP+ㄴ/ETM
무서운	무섭/VA+ㄴ/ETM
정확히	정확히/MAG
폭으로	폭/NNG+으로/JKB
처음부터	처음/NNG+부터/JX
일어난	일어나/VV+ㄴ/ETM
관계에	관계/NNG+에/JKB
개발	개발/NNG
생활의	생활/NNG+의/JKG
많아	많/VA+아/EC
문득	문득/MAG
못지	못하/VA+지/EC
만들	만들/VV+ㄹ/ETM
경우에도	경우/NNG+에/JKB+도/JX
서양의	서양/NNG+의/JKG
불리는	불리/VV+는/ETM
민족	민족/NNG
김일성	김일성/NNP
정확하게	정확/XR+하/XSA+게/EC
옮겨	옮기/VV+어/EC
아이들의	아이/NNG+들/XSN+의/JKG
느끼게	느끼/VV+게/EC
필요로	필요/NNG+로/JKB
노마는	노마/NNP+는/JX
여러가지	여러/MM+가지/NNB
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF
차라리	차라리/MAG
러시아	러시아/NNP
동네	동네/NNG
모른다는	모르/VV+ㄴ다는/ETM
주인	주인/NNG
은행	은행/NNG
담배를	담배/NNG+를/JKO
쉽지	쉽/VA+지/EC
본격적인	본격/XR+적/XSN+이/VCP+ㄴ/ETM
대통령은	대통령/NNG+은/JX
지내는	지내/VV+는/ETM
남자의	남자/NNG+의/JKG
3.	3/SN+./SF
눈	눈/NNG
5년	5/SN+년/NNB
바라는	바라/VV+는/ETM
대학은	대학/NNG+은/JX
동안의	동안/NNG+의/JKG
맡은	맡/VV+은/ETM
보내	보내/VV+어/EC
밑에	밑/NNG+에/JKB
당신이	당신/NP+이/JKS
담고	담/VV+고/EC
서울에서	서울/NNP+에서/JKB
잠을	잠/NNG+을/JKO
이름	이름/NNG
확대되었다.	확대/NNG+되/XSV+었/EP+다/EF+./SF
방식으로	방식/NNG+으로/JKB
현상을	현상/NNG+을/JKO
증가세가	증가세/NNG+가/JKS
남편은	남편/NNG+은/JX
서둘러	서두르/VV+어/EC
간단한	간단/XR+하/XSA+ㄴ/ETM
무려	무려/MAG
관점에서	관점/NNG+에서/JKB
낡은	낡/VA+은/ETM
않을까	않/VX+을까/EC
데에	데/NNB+에/JKB
영화를	영화/NNG+를/JKO
내용의	내용/NNG+의/JKG
곧바로	곧바로/MAG
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF
조국의	조국/NNG+의/JKG
몸	몸/NNG
의식을	의식/NNG+을/JKO
머리	머리/NNG
부모의	부모/NNG+의/JKG
다리를	다리/NNG+를/JKO
공동으로	공동/NNG+으로/JKB
잃고	잃/VV+고/EC
시절	시절/NNG
프로그램을	프로그램/NNG+을/JKO
현실	현실/NNG
다음으로	다음/NNG+으로/JKB
막	막/MAG
책	책/NNG
들어갈	들어가/VV+ㄹ/ETM
92년	92/SN+년/NNB
사고를	사고/NNG+를/JKO
나타내었다.	나타내/VV+었/EP+다/EF+./SF
문제점을	문제점/NNG+을/JKO
감소하였다.	감소/NNG+하/XSV+았/EP+다/EF+./SF
평가를	평가/NNG+를/JKO
분명하다.	분명/XR+하/XSA+다/EF+./SF
여지가	여지/NNG+가/JKS
어디서	어디/NP+서/JKB
보일	보이/VV+ㄹ/ETM
상을	상/NNG+을/JKO
진실을	진실/NNG+을/JKO
청와대	청와대/NNP
1,	1/SN+,/SP
2년	2/SN+년/NNB
2일	2/SN+일/NNB
들어온	들어오/VV+ㄴ/ETM
따르는	따르/VV+는/ETM
클린턴	클린턴/NNP
이야기	이야기/NNG
드러난	드러나/VV+ㄴ/ETM
신한국당은	신한국당/NNP+은/JX
개혁	개혁/NNG
비가	비/NNG+가/JKS
붙어	붙/VV+어/EC
예컨대	예컨대/MAG
위대한	위대/XR+하/XSA+ㄴ/ETM
삼아	삼/VV+아/EC
생각하지	생각/NNG+하/XSV+지/EC
구실을	구실/NNG+을/JKO
준비를	준비/NNG+를/JKO
중심의	중심/NNG+의/JKG
기다리고	기다리/VV+고/EC
국민적	국민/NNG+적/XSN
노력이	노력/NNG+이/JKS
자체의	자체/NNG+의/JKG
들어간	들어가/VV+ㄴ/ETM
이야기는	이야기/NNG+는/JX
드디어	드디어/MAG
여성의	여성/NNG+의/JKG
여름	여름/NNG
느낌이	느낌/NNG+이/JKS
그렇기	그렇/VA+기/ETN
통일	통일/NNG
물건을	물건/NNG+을/JKO
그녀에게	그녀/NP+에게/JKB
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF
느꼈다.	느끼/VV+었/EP+다/EF+./SF
정책의	정책/NNG+의/JKG
승주는	승주/NNP+는/JX
社說	社說/SH
6일	6/SN+일/NNB
아들을	아들/NNG+을/JKO
14일	14/SN+일/NNB
방으로	방/NNG+으로/JKB
이전의	이전/NNG+의/JKG
이용한	이용/NNG+하/XSV+ㄴ/ETM
검찰	검찰/NNG
생활에	생활/NNG+에/JKB
이루고	이루/VV+고/EC
맞지	맞/VV+지/EC
위기를	위기/NNG+를/JKO
우리도	우리/NP+도/JX
나이	나이/NNG
어린이	어린이/NNG
들여	들이/VV+어/EC
아들	아들/NNG
작품	작품/NNG
잊지	잊/VV+지/EC
입에	입/NNG+에/JKB
일본에서	일본/NNP+에서/JKB
맞추어	맞추/VV+어/EC
조치를	조치/NNG+를/JKO
시작된	시작/NNG+되/XSV+ㄴ/ETM
논리를	논리/NNG+를/JKO
97년	97/SN+년/NNB
참석한	참석/NNG+하/XSV+ㄴ/ETM
제시한	제시/NNG+하/XSV+ㄴ/ETM
학교의	학교/NNG+의/JKG
이전에	이전/NNG+에/JKB
밤에	밤/NNG+에/JKB
남자	남자/NNG
지은	짓/VV+은/ETM
조사	조사/NNG
시를	시/NNG+를/JKO
들어가는	들어가/VV+는/ETM
주장하고	주장/NNG+하/XSV+고/EC
분야의	분야/NNG+의/JKG
태어난	태어나/VV+ㄴ/ETM
꽤	꽤/MAG
9일	9/SN+일/NNB
따뜻한	따뜻/XR+하/XSA+ㄴ/ETM
위치를	위치/NNG+를/JKO
의지를	의지/NNG+를/JKO
미치는	미치/VV+는/ETM
갖지	갖/VV+지/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
이웃	이웃/NNG
증가하였다.	증가/NNG+하/XSV+았/EP+다/EF+./SF
비롯해	비롯/XR+하/XSV+아/EC
중에서도	중/NNB+에서/JKB+도/JX
듯하다.	듯/NNB+하/XSA+다/EF+./SF
지낸다.	지내/VV+ㄴ다/EF+./SF
해마다	해/NNG+마다/JX
사업을	사업/NNG+을/JKO
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
10년	10/SN+년/NNB
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF
나타난다.	나타나/VV+ㄴ다/EF+./SF
둘째,	둘째/NR+,/SP
대화를	대화/NNG+를/JKO
꼬마	꼬마/NNG
같아	같/VA+아/EC
몰고	몰/VV+고/EC
배를	배/NNG+를/JKO
안정을	안정/NNG+을/JKO
친구	친구/NNG
좋을	좋/VA+을/ETM
살던	살/VV+던/ETM
그치지	그치/VV+지/EC
마음대로	마음/NNG+대로/JX
행사를	행사/NNG+를/JKO
안다.	알/VV+ㄴ다/EF+./SF
이르렀다.	이르/VV+었/EP+다/EF+./SF
명	명/NNB
결과는	결과/NNG+는/JX
근본적으로	근본/NNG+적/XSN+으로/JKB
벌이고	벌이/VV+고/EC
없으면	없/VA+으면/EC
돌아와	돌아오/VV+아/EC
돌아온	돌아오/VV+ㄴ/ETM
부담을	부담/NNG+을/JKO
맞춰	맞추/VV+어/EC
어디까지나	어디/NP+까지/JX+나/JX
또다른	또/MAJ+다른/MM
흐르는	흐르/VV+는/ETM
구체적	구체/NNG+적/XSN
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF
하락하였다.	하락/NNG+하/XSV+았/EP+다/EF+./SF
경찰의	경찰/NNG+의/JKG
효과가	효과/NNG+가/JKS
것인가	것/NNB+이/VCP+ㄴ가/EC
밝혀졌다.	밝히/VV+어/EC+지/VX+었/EP+다/EF+./SF
두환은	두환/NNP+은/JX
것보다	것/NNB+보다/JKB
인간을	인간/NNG+을/JKO
1998년	1998/SN+년/NNB
도무지	도무지/MAG
같지	같/VA+지/EC
위해서도	위하/VV+아서/EC+도/JX
막대한	막대/XR+하/XSA+ㄴ/ETM
사회는	사회/NNG+는/JX
완전한	완전/NNG+하/XSA+ㄴ/ETM
비추어	비추/VV+어/EC
좁은	좁/VA+은/ETM
역사	역사/NNG
애를	애/NNG+를/JKO
세워	세우/VV+어/EC
그림을	그림/NNG+을/JKO
눈길을	눈길/NNG+을/JKO
나라에서	나라/NNG+에서/JKB
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
그같은	그/NP+같/VA+은/ETM
보여주고	보이/VV+어/EC+주/VX+고/EC
페르츠는	페르츠/NNP+는/JX
민이는	민이/NNP+는/JX
몰래	몰래/MAG
얼굴에	얼굴/NNG+에/JKB
아이의	아이/NNG+의/JKG
잃은	잃/VV+은/ETM
주장하는	주장/NNG+하/XSV+는/ETM
보냈다.	보내/VV+었/EP+다/EF+./SF
국민에게	국민/NNG+에게/JKB
경쟁을	경쟁/NNG+을/JKO
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF
최근의	최근/NNG+의/JKG
움직이는	움직이/VV+는/ETM
3	3/SN
일방적으로	일방/NNG+적/XSN+으로/JKB
전에는	전/NNG+에/JKB+는/JX
전쟁을	전쟁/NNG+을/JKO
종류의	종류/NNG+의/JKG
나무를	나무/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF
사이에서	사이/NNG+에서/JKB
이같이	이/NP+같이/JKB
금년	금년/NNG
서울대	서울대/NNP
어디에	어디/NP+에/JKB
누워	눕/VV+어/EC
않았을	않/VX+았/EP+을/ETM
아이들	아이/NNG+들/XSN
최종	최종/NNG
비중이	비중/NNG+이/JKS
집안	집안/NNG
채로	채/NNB+로/JKB
연간	연간/NNG
입는	입/VV+는/ETM
온통	온통/MAG
식의	식/NNB+의/JKG
수출	수출/NNG
형을	형/NNG+을/JKO
환경	환경/NNG
화려한	화려/XR+하/XSA+ㄴ/ETM
목표로	목표/NNG+로/JKB
목표를	목표/NNG+를/JKO
--	-/SS+-/SS
나오지	나오/VV+지/EC
의혹을	의혹/NNG+을/JKO
전월의	전월/NNG+의/JKG
사람,	사람/NNG+,/SP
되었던	되/VV+었/EP+던/ETM
생기는	생기/VV+는/ETM
이르러	이르/VV+어/EC
서울로	서울/NNP+로/JKB
아이는	아이/NNG+는/JX
부분을	부분/NNG+을/JKO
엄마는	엄마/NNG+는/JX
첫째	첫째/NR
전쟁	전쟁/NNG
지낸	지내/VV+ㄴ/ETM
썼다.	쓰/VV+었/EP+다/EF+./SF
싶지	싶/VX+지/EC
마음은	마음/NNG+은/JX
향한	향하/VV+ㄴ/ETM
당국은	당국/NNG+은/JX
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
목적을	목적/NNG+을/JKO
강하게	강하/VA+게/EC
개혁을	개혁/NNG+을/JKO
남경사는	남/NNP+경사/NNG+는/JX
5일	5/SN+일/NNB
써	쓰/VV+어/EC
들어와	들어오/VV+아/EC
20일	20/SN+일/NNB
이밖에	이/NP+밖에/JX
원칙을	원칙/NNG+을/JKO
의식이	의식/NNG+이/JKS
국민들은	국민/NNG+들/XSN+은/JX
길게	길/VA+게/EC
교수	교수/NNG
물에	물/NNG+에/JKB
내에	내/NNB+에/JKB
같기도	같/VA+기/ETN+도/JX
강조하고	강조/NNG+하/XSV+고/EC
정책	정책/NNG
똑같이	똑같이/MAG
인구	인구/NNG
김영삼	김영삼/NNP
질문을	질문/NNG+을/JKO
느끼는	느끼/VV+는/ETM
세호의	세호/NNP+의/JKG
후에는	후/NNG+에/JKB+는/JX
특성을	특성/NNG+을/JKO
여기에서	여기/NP+에서/JKB
공통된	공통/NNG+되/XSV+ㄴ/ETM
무거운	무겁/VA+ㄴ/ETM
결혼을	결혼/NNG+을/JKO
누구도	누구/NP+도/JX
◇	◇/SW
차이를	차이/NNG+를/JKO
4일	4/SN+일/NNB
2백	2/SN+백/NR
이해를	이해/NNG+를/JKO
미국에서	미국/NNP+에서/JKB
감소로	감소/NNG+로/JKB
일부러	일부러/MAG
사고의	사고/NNG+의/JKG
재산을	재산/NNG+을/JKO
밝히고	밝히/VV+고/EC
막기	막/VV+기/ETN
맞고	맞/VV+고/EC
미칠	미치/VV+ㄹ/ETM
밝은	밝/VA+은/ETM
부인	부인/NNG
불교	불교/NNG
비중을	비중/NNG+을/JKO
통일을	통일/NNG+을/JKO
전해	전하/VV+아/EC
정보	정보/NNG
이곳	이곳/NP
모르겠다.	모르/VV+겠/EP+다/EF+./SF
건전한	건전/XR+하/XSA+ㄴ/ETM
개혁의	개혁/NNG+의/JKG
정말로	정말로/MAG
12일	12/SN+일/NNB
민중의	민중/NNG+의/JKG
의의가	의의/NNG+가/JKS
한국이	한국/NNP+이/JKS
길에	길/NNG+에/JKB
마음으로	마음/NNG+으로/JKB
관리	관리/NNG
관계자는	관계자/NNG+는/JX
믿는	믿/VV+는/ETM
맡고	맡/VV+고/EC
아,	아/IC+,/SP
본래	본래/NNG
변화에	변화/NNG+에/JKB
찾고	찾/VV+고/EC
생각	생각/NNG
선거	선거/NNG
신문	신문/NNG
최근에는	최근/NNG+에/JKB+는/JX
교회의	교회/NNG+의/JKG
신경을	신경/NNG+을/JKO
현실에	현실/NNG+에/JKB
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
최대한	최대한/NNG
조직의	조직/NNG+의/JKG
생명을	생명/NNG+을/JKO
찾아볼	찾아보/VV+ㄹ/ETM
6년	6/SN+년/NNB
내놓은	내놓/VV+은/ETM
자본주의	자본주의/NNG
받아야	받/VV+아야/EC
올리고	올리/VV+고/EC
둘러싸고	둘러싸/VV+고/EC
한국에서는	한국/NNP+에서/JKB+는/JX
운동의	운동/NNG+의/JKG
분명	분명/MAG
사정을	사정/NNG+을/JKO
되자	되/VV+자/EC
책은	책/NNG+은/JX
차츰	차츰/MAG
전화	전화/NNG
"우리	"/SS+우리/NP
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
수입	수입/NNG
해당	해당/NNG
일환으로	일환/NNG+으로/JKB
